isolabel_ext,synonym
BR-AL-Maragogi,br;al;mgi
BR-AL-Maragogi,br;alagoas;maragogi
BR-AL-Maragogi,br-2704500
BR-AL-Maragogi,br;al;maragogi
BR-AL-Maragogi,br-al-mgi
BR-AL-Maragogi,br-maragogi
BR-AL-Maravilha,co-a-mvi
BR-AL-Maravilha,br;alagoas;maravilha
BR-AL-Maravilha,br;al;maravilha
BR-AL-Maravilha,br;al;mvi
BR-AL-Maravilha,br-al-mvi
BR-AL-Maravilha,br-2704609
BR-AL-MarechalDeodoro,br-al-mhd
BR-AL-MarechalDeodoro,co-a-mhd
BR-AL-MarechalDeodoro,br-2704708
BR-AL-MarechalDeodoro,br;al;mhd
BR-AL-MarechalDeodoro,br-marechaldeodoro
BR-AL-MarechalDeodoro,br;alagoas;marechal.deodoro
BR-AL-MarechalDeodoro,br;al;marechal.deodoro
BR-AL-Maribondo,br-maribondo
BR-AL-Maribondo,co-a-mbo
BR-AL-Maribondo,br;al;maribondo
BR-AL-Maribondo,br-al-mbo
BR-AL-Maribondo,br;al;mbo
BR-AL-Maribondo,br-2704807
BR-AL-Maribondo,br;alagoas;maribondo
BR-AL-MataGrande,br-al-mgr
BR-AL-MataGrande,br;alagoas;mata.grande
BR-AL-MataGrande,br;al;mata.grande
BR-AL-MataGrande,br;al;mgr
BR-AL-MataGrande,co-a-mgr
BR-AL-MataGrande,br-2705002
BR-AL-MataGrande,br-matagrande
BR-AL-MatrizCamaragibe,co-a-mzc
BR-AL-MatrizCamaragibe,br;alagoas;matriz.camaragibe
BR-AL-MatrizCamaragibe,br;al;matriz.camaragibe
BR-AL-MatrizCamaragibe,br;al;mzc
BR-AL-MatrizCamaragibe,br-al-mzc
BR-AL-MatrizCamaragibe,br-2705101
BR-AL-MatrizCamaragibe,br-matrizcamaragibe
BR-AL-Messias,br-2705200
BR-AL-Messias,br;al;messias
BR-AL-Messias,br-messias
BR-AL-Messias,br;al;mea
BR-AL-Messias,br;alagoas;messias
BR-AL-Messias,co-a-mea
BR-AL-Messias,br-al-mea
BR-AL-MinadorNegrao,br-2705309
BR-AL-MinadorNegrao,br-al-mnx
BR-AL-MinadorNegrao,br;al;minador.negrao
BR-AL-MinadorNegrao,br;al;mnx
BR-AL-MinadorNegrao,br-minadornegrao
BR-AL-MinadorNegrao,br;alagoas;minador.negrao
BR-AL-MinadorNegrao,co-a-mnx
BR-AL-Monteiropolis,br;al;mon
BR-AL-Monteiropolis,br-monteiropolis
BR-AL-Monteiropolis,co-a-mon
BR-AL-Monteiropolis,br;al;monteiropolis
BR-AL-Monteiropolis,br-al-mon
BR-AL-Monteiropolis,br-2705408
BR-AL-Monteiropolis,br;alagoas;monteiropolis
BR-AL-Murici,co-a-mri
BR-AL-Murici,br;al;mri
BR-AL-Murici,br-2705507
BR-AL-Murici,br;alagoas;murici
BR-AL-Murici,br-murici
BR-AL-Murici,br-al-mri
BR-AL-Murici,br;al;murici
BR-AL-NovoLino,br-al-nlo
BR-AL-NovoLino,co-a-nlo
BR-AL-NovoLino,br;al;novo.lino
BR-AL-NovoLino,br;al;nlo
BR-AL-NovoLino,br;alagoas;novo.lino
BR-AL-NovoLino,br-2705606
BR-AL-NovoLino,br-novolino
BR-AL-OlhoAguaCasado,br;al;olho.agua.casado
BR-AL-OlhoAguaCasado,br-2705804
BR-AL-OlhoAguaCasado,br-olhoaguacasado
BR-AL-OlhoAguaCasado,br;alagoas;olho.agua.casado
BR-AL-OlhoAguaFlores,br-2705705
BR-AL-OlhoAguaFlores,br;al;olho.agua.flores
BR-AL-OlhoAguaFlores,br;alagoas;olho.agua.flores
BR-AL-OlhoAguaFlores,br-olhoaguaflores
BR-AL-OlhoAguaGrande,br;al;olho.agua.grande
BR-AL-OlhoAguaGrande,br-olhoaguagrande
BR-AL-OlhoAguaGrande,br;alagoas;olho.agua.grande
BR-AL-OlhoAguaGrande,br-2705903
BR-AL-Olivenca,br;al;olivenca
BR-AL-Olivenca,br;al;oiv
BR-AL-Olivenca,br;alagoas;olivenca
BR-AL-Olivenca,br-olivenca
BR-AL-Olivenca,br-2706000
BR-AL-Olivenca,br-al-oiv
BR-AL-Olivenca,co-a-oiv
BR-AL-OuroBranco,br;al;ouro.branco
BR-AL-OuroBranco,br-al-oub
BR-AL-OuroBranco,br;alagoas;ouro.branco
BR-AL-OuroBranco,br;al;oub
BR-AL-OuroBranco,co-a-oub
BR-AL-OuroBranco,br-2706109
BR-AL-Palestina,co-a-psy
BR-AL-Palestina,br;al;psy
BR-AL-Palestina,br;al;palestina
BR-AL-Palestina,br-al-psy
BR-AL-Palestina,br-2706208
BR-AL-Palestina,br;alagoas;palestina
BR-AL-PalmeiraIndios,br;al;pin
BR-AL-PalmeiraIndios,br-2706307
BR-AL-PalmeiraIndios,br-al-pin
BR-AL-PalmeiraIndios,br;al;palmeira.indios
BR-AL-PalmeiraIndios,br-palmeiraindios
BR-AL-PalmeiraIndios,br;alagoas;palmeira.indios
