isolabel_ext,status,cover,overlay
BR-AP-Amapa,0,296m 296v 297h 297m 297r 297v 2c0m 2c0v 2c1h 2c1m 2c1r 2c1v 2c2h 2c2m 2c2r 2c2v 2c3h 2c3m 2c3r 2c3v 2c8m,
BR-AP-Calcoene,0,294r 294v 296h 296m 296r 296v 297r 297v 29ch 29cm 29cv 29dh 29dm 29dr 29dv 29fh 29fm 29fv 2b5m 2b5v 2c2r 2c2v 2c8h 2c8m 2c8r 2cah 2car,
BR-AP-Cutias,0,26ar 26av 26br 2c0h 2c0m 2c1h 2c1m 2c1r 2c1v,
BR-AP-FerreiraGomes,0,23ev 23fh 23fm 23fr 23fv 26ah 26ar 294h 294m 294r 294v 295h 295m 295r,
BR-AP-Itaubal,0,268r 268v 26ah 26am 26ar 26av 26bh,
BR-AP-LaranjalJari,0,22fv 233m 234at 236h 23g 23q 283m 283r 283v 284v 285m 285r 285v 286h 286m 286r 286v 287h 287m 287r 287v 289h 289m 28ch 28cm 28dh 28dm 298h 29g,
BR-AP-Macapa,0,23dm 23dr 23dv 23fh 23fm 268h 268r 268v 26ah 26am 26ar 26av 26bh 26bm 26br 26bv 2c1h 2c1m,
BR-AP-Mazagao,0,233v 234r 234v 236h 236m 236r 236v 237h 237r 237v 239h 239m 239r 239v 23bh 23bm 23br 23ch 23cm 23cr 23cv 23dh 23dm 23dr 23eh 23em,
BR-AP-Oiapoque,0,29g 29q 2bg,
BR-AP-PedraBrancaAmapari,0,23av 23bh 23bm 23br 23bv 23eh 23em 23er 23ev 290m 290v 291h 291m 291r 291v 292m 292r 292v 293h 294h 294m,
BR-AP-PortoGrande,0,239v 23bm 23cv 23dr 23dv 23eh 23em 23er 23ev 23fh 23fm 23fr 294m,
BR-AP-Pracuuba,0,294r 294v 295r 295v 296m 297h 297m 2c0r 2c0v 2c2h 2c2m,
BR-AP-Santana,0,23dh 23dm 23dr 23dv 23fh,
BR-AP-SerraNavio,0,23er 23ev 291h 291m 291r 291v 292m 292v 293h 293m 293r 293v 294h 294m 294r 296h 296r 299m 29ch,
BR-AP-Tartarugalzinho,0,23fr 23fv 26ar 295h 295m 295r 295v 297h 297m 2c0h 2c0m 2c0r 2c0v 2c1h 2c2h,
BR-AP-VitoriaJari,0,231m 231v 233m 234h 234m 234r 234v,
BR-BA-Abaira,0,bbem bbfh,
BR-BA-Abare,0,76cm 76cv 76dh 76dr 76dv 76fh,
BR-BA-Acajutiba,0,752dp 752dy 752dz 752fn 752fp 7538k 7538s 7538t 7538y 7538z 753aj 753ak 753an 753ap 753as,
