isolabel_ext,status,base_intlevel,cover,overlay
BR-AM-Itamarati,1,45,4c2Q 4c3G 4c3Q 4c6G 4c6Q 4c7G 4c7Q 4c9G 4c9Q 4cbG 4ccG 4ccQ 4cdG 4cdQ 4ceG 4ceQ 4cfG 4cfQ 4d2G 4d2Q 4d8G 4d8Q 4d9G 4d9Q 4daG 4daQ 4dbG 4dcG 4dcQ,
BR-AM-Itapiranga,1,50,146R 146V 147M 147R 147V 149M 14cH 14cM 14cR 14cV 14dH 14dM 152R,
BR-AM-Japura,1,40,035 037 041 042 043 046 047 048 049 04a 04b 04c 04d 04e 04f 052 058 059 05a 05b 05c 05e 060 061 062 064,
BR-AM-Jurua,1,45,050G 051G 051Q 054G 054Q 055Q 056G 056Q 057G 057Q 4f8Q 4f9Q 4faG 4faQ 4fbG 4fbQ 4fcQ 4feG 4feQ,
BR-AM-Jutai,1,35,04N 05J 05K 05P 49Y 49Z 4cS 4cT 4cY 4cZ 4eJ 4eK 4eN 4eP 4eS 4eT 4eY 4eZ 4fS 4fT,
BR-AM-Labrea,1,40,472 473 476 477 478 479 47b 47c 47d 47e 47f 4d1 4d2 4d3 4d4 4d5 4d6 4d7 4d8 4d9 522 528 529 52a 52b 580 581 582 583 588 589,
BR-AM-Manacapuru,1,50,114H 114M 114R 114V 115H 115M 115R 115V 116H 116M 116R 116V 117H 140R 5beR 5beV 5bfR 5bfV,
BR-AM-Manaquiri,1,50,115M 115V 140H 140R 5beM 5beV 5bfH 5bfM 5bfR 5bfV 5eaR,
BR-AM-Manaus,1,50,117H 117M 117R 117V 11dH 11dM 11dR 11dV 140R 140V 141R 141V 142H 142M 142R 142V 143H 143M 143R 144R 148H 148M 148R 148V,
BR-AM-Manicore,1,40,53b 53e 591 593 594 595 596 599 59a 59b 59c 59d 59e 59f 5b0 5b1 5b3 5b4 5b5 5b6 5b7 5bc,
BR-AM-Maraa,1,45,057Q 05cG 05cQ 05dG 05dQ 05eG 05eQ 05fG 100G 100Q 101G 101Q 102G 102Q 103G 103Q 108G 108Q 109G 5abQ 5aeQ,
BR-AM-Maues,1,40,145 150 151 152 5c7 5cc 5cd 5ce 5cf 5da 5e4 5e5 5e6 5e7 5ed 5ef 5f0 5f2 5f8 5f9 5fa 5fb,
